rank,status,recommended,feature_readable,feature_family,condition,base_feature,formula_readable,formula_family,pairwise_n,valid_fraction,spearman_r,abs_spearman,bootstrap_sign_stability,mutual_information,not_recommended_reason,feature_name
36,weak,False,"SDNN, ms (before, sit, full)",ECG raw,before/sit/full,hrv_time__SDNN_ms,absolute value,SDNN_ms,22,1.0,0.186,0.186,0.762,0.013,low_abs_spearman,ecg_raw_rest_before::before__sit__full__hrv_time__SDNN_ms
37,weak,False,"SDNN, ms (before, long, full)",ECG raw,before/long/full,hrv_time__SDNN_ms,absolute value,SDNN_ms,21,0.955,0.184,0.184,0.8,0.0,low_abs_spearman,ecg_raw_rest_before::before__long__full__hrv_time__SDNN_ms
38,weak,False,"Orthostatic response before training: SDNN, ms — percent change",HRV time,Orthostatic response before training,hrv_time__SDNN_ms,percent change,relative_change,22,1.0,0.181,0.181,0.794,0.026,low_abs_spearman,ecg_orthostatic_before::orthostatic_before__hrv_time__SDNN_ms__percent_delta
39,weak,False,"Orthostatic response before training: RMSSD, ms — difference",HRV time,Orthostatic response before training,hrv_time__RMSSD_ms,difference,absolute_change,21,0.955,0.18,0.18,0.776,0.0,low_abs_spearman,ecg_orthostatic_before::orthostatic_before__hrv_time__RMSSD_ms__delta
40,weak,False,"SD1/SD2 ratio (before, long, full)",ECG raw,before/long/full,hrv_nonlinear__SD1_SD2_ratio,absolute value,SD1_SD2_ratio,21,0.955,0.179,0.179,0.79,0.0,low_abs_spearman,ecg_raw_rest_before::before__long__full__hrv_nonlinear__SD1_SD2_ratio
41,weak,False,"Poincaré SD2, ms (before, sit, full)",ECG raw,before/sit/full,hrv_nonlinear__SD2_ms,absolute value,SD2_ms,22,1.0,0.174,0.174,0.736,0.0,low_abs_spearman,ecg_raw_rest_before::before__sit__full__hrv_nonlinear__SD2_ms
42,weak,False,"Poincaré SD2, ms (before, long, full)",ECG raw,before/long/full,hrv_nonlinear__SD2_ms,absolute value,SD2_ms,21,0.955,0.172,0.172,0.774,0.0,low_abs_spearman,ecg_raw_rest_before::before__long__full__hrv_nonlinear__SD2_ms
43,weak,False,"Deviation from personal baseline, sit before training: LF power — robust z-score",HRV frequency,"Deviation from personal baseline, sit before training",hrv_freq__LF_power,robust z-score,normalized_deviation,18,0.818,0.168,0.168,0.7,0.108,low_abs_spearman,ecg_baseline_before::baseline_dev_sit_before__hrv_freq__LF_power__robust_z
44,weak,False,"Mean NN interval, ms (before, sit, full)",ECG raw,before/sit/full,hrv_time__MeanNN_ms,absolute value,MeanNN_ms,22,1.0,0.162,0.162,0.758,0.19,low_abs_spearman,ecg_raw_rest_before::before__sit__full__hrv_time__MeanNN_ms
45,weak,False,"Deviation from personal baseline, sit before training: LF/HF ratio — difference",HRV frequency,"Deviation from personal baseline, sit before training",hrv_freq__LF_HF_ratio,difference,absolute_change,19,0.864,0.161,0.161,0.758,0.0,low_abs_spearman,ecg_baseline_before::baseline_dev_sit_before__hrv_freq__LF_HF_ratio__delta
46,weak,False,"Mean heart rate, bpm (before, sit, full)",ECG raw,before/sit/full,hrv_time__MeanHR_bpm,absolute value,MeanHR_bpm,22,1.0,-0.155,0.155,0.76,0.164,low_abs_spearman,ecg_raw_rest_before::before__sit__full__hrv_time__MeanHR_bpm
