rank,feature_name,n_total,n_valid_x,valid_fraction,pairwise_n,n_unique,mean,std,min,max,pearson_r,pearson_p,spearman_r,spearman_p,abs_pearson,abs_spearman,mutual_information,bootstrap_spearman_median,bootstrap_spearman_ci_low,bootstrap_spearman_ci_high,bootstrap_sign_stability,feature_set_name,feature_family,operation,condition,base_feature,formula_readable,feature_readable,status,recommended,not_recommended_reason
11,ecg_orthostatic_before::orthostatic_before__hrv_freq__HF_power__ratio,22,22,1.0,22,22,0.8954093382324971,0.9446982921645467,0.2029699368936842,4.424415510846574,0.07941728192149283,0.7253542146888317,0.377017922981534,0.08369504236404626,0.07941728192149283,0.377017922981534,0.3705217223124624,0.3993223686723157,-0.14544385468109172,0.714990553903209,0.916,ecg_orthostatic_before,HRV frequency,orthostatic_before,Orthostatic response before training,hrv_freq__HF_power,ratio,Orthostatic response before training: HF power — ratio,candidate,False,moderate_association;passes_minimum_filters
12,ecg_raw_rest_before::before__sit__full__morph_t__RT_interval_ms,22,15,0.6818181818181818,15,8,248.80926992251366,35.27096447630827,123.6937513329068,272.979313286415,0.16474355732330365,0.5573862926380303,0.3750513307553476,0.16836981412956034,0.16474355732330365,0.3750513307553476,0.022776482776483142,0.35090215353084464,-0.2353036291378062,0.8146659418671868,0.89,ecg_raw_rest_before,ECG raw,absolute,before/sit/full,morph_t__RT_interval_ms,absolute value,"RT interval, ms (before, sit, full)",candidate,False,moderate_association;passes_minimum_filters
13,ecg_raw_rest_before::before__sit__full__morph_t__QT_like_ms,22,15,0.6818181818181818,15,8,330.41871045709814,20.319692646208093,264.44870974621455,358.28534868841973,0.20056527406733615,0.4735403517958074,0.3570956442372384,0.19133767712855845,0.20056527406733615,0.3570956442372384,0.0,0.34951438401903734,-0.2141247451074942,0.7478167461849767,0.888,ecg_raw_rest_before,ECG raw,absolute,before/sit/full,morph_t__QT_like_ms,absolute value,"QT-like interval, ms (before, sit, full)",candidate,False,moderate_association;passes_minimum_filters
14,ecg_raw_rest_before::before__long__full__morph_qrs__QRS_area,22,7,0.3181818181818182,7,7,10.394967518021415,2.4944845970717426,8.501457216066962,15.80748282754288,-0.2374649965685952,0.6081363660708098,-0.34235623582431246,0.4522512215909064,0.2374649965685952,0.34235623582431246,0.0,-0.37254901960784315,-0.8823529411764706,0.8847946725860157,0.7675350701402806,ecg_raw_rest_before,ECG raw,absolute,before/long/full,morph_qrs__QRS_area,absolute value,"QRS area (before, long, full)",reject,False,low_valid_fraction
15,ecg_raw_rest_before::before__sit__full__morph_qrs__R_width_half_ms,22,15,0.6818181818181818,15,3,32.416293452761785,2.697613700292923,29.857112390701644,38.38771593090212,-0.31277283137798206,0.2563566631551041,-0.3375263702778072,0.21857227331637982,0.31277283137798206,0.3375263702778072,0.0,-0.32448831573643694,-0.7388043194998761,0.23712479264849898,0.872,ecg_raw_rest_before,ECG raw,absolute,before/sit/full,morph_qrs__R_width_half_ms,absolute value,"R half-width, ms (before, sit, full)",reject,False,low_unique_values
16,ecg_orthostatic_before::orthostatic_before__hrv_time__RMSSD_ms__percent_delta,22,22,1.0,22,22,-24.228981519166158,30.938112004667204,-59.69152130809256,95.35770550062897,0.17587506076763762,0.43368202261988575,0.32946611287575495,0.13431542975426333,0.17587506076763762,0.32946611287575495,0.0,0.34985030807062734,-0.13612468100698993,0.6726155787112569,0.926,ecg_orthostatic_before,HRV time,orthostatic_before,Orthostatic response before training,hrv_time__RMSSD_ms,percent change,"Orthostatic response before training: RMSSD, ms — percent change",candidate,False,moderate_association;passes_minimum_filters
17,ecg_orthostatic_before::orthostatic_before__hrv_time__RMSSD_ms__ratio,22,22,1.0,22,22,0.7577101848083384,0.30938112004667195,0.4030847869190743,1.9535770550062896,0.17587506076763765,0.43368202261988575,0.32946611287575495,0.13431542975426333,0.17587506076763765,0.32946611287575495,0.0,0.34985030807062734,-0.13612468100698993,0.6726155787112569,0.926,ecg_orthostatic_before,HRV time,orthostatic_before,Orthostatic response before training,hrv_time__RMSSD_ms,ratio,"Orthostatic response before training: RMSSD, ms — ratio",candidate,False,moderate_association;passes_minimum_filters
18,ecg_orthostatic_before::orthostatic_before__hrv_freq__LF_HF_ratio__ratio,22,22,1.0,22,22,4.602709419364411,5.212687799330438,0.2244134401510156,19.91393382410339,-0.02855834689772304,0.8996078226109838,-0.3289000198983052,0.13502601447241844,0.02855834689772304,0.3289000198983052,0.06400022738152522,-0.35090300916855066,-0.7481653230778579,0.20337316248574003,0.908,ecg_orthostatic_before,HRV frequency,orthostatic_before,Orthostatic response before training,hrv_freq__LF_HF_ratio,ratio,Orthostatic response before training: LF/HF ratio — ratio,candidate,False,moderate_association;passes_minimum_filters
19,ecg_orthostatic_before::orthostatic_before__hrv_freq__LF_HF_ratio__percent_delta,22,22,1.0,22,22,360.27094193644103,521.2687799330439,-77.55865598489844,1891.3933824103387,-0.02855834689772306,0.8996078226109838,-0.3289000198983052,0.13502601447241844,0.02855834689772306,0.3289000198983052,0.06400022738152522,-0.35090300916855066,-0.7481653230778579,0.20337316248574003,0.908,ecg_orthostatic_before,HRV frequency,orthostatic_before,Orthostatic response before training,hrv_freq__LF_HF_ratio,percent change,Orthostatic response before training: LF/HF ratio — percent change,candidate,False,moderate_association;passes_minimum_filters
20,ecg_baseline_before::baseline_dev_sit_before__hrv_freq__LF_power__delta,22,19,0.8636363636363636,19,19,0.00010841422649512632,0.00033394463866009917,-0.0003748757794557,0.0008982474837309,0.3816645575294652,0.10687035691102952,0.3201418355798812,0.18147784274321094,0.3816645575294652,0.3201418355798812,0.0,0.3411828435272458,-0.15340838021821265,0.673285945189469,0.894,ecg_baseline_before,HRV frequency,baseline_dev_sit_before,"Deviation from personal baseline, sit before training",hrv_freq__LF_power,difference,"Deviation from personal baseline, sit before training: LF power — difference",candidate,False,moderate_association;passes_minimum_filters
21,ecg_baseline_before::baseline_dev_sit_before__hrv_time__SDNN_ms__robust_z,22,19,0.8636363636363636,19,19,-0.05343836556732307,1.511382311152929,-3.128024721976557,2.6341635145170272,0.27234189113386814,0.2593172680697772,0.3122262407441149,0.1931242602494867,0.27234189113386814,0.3122262407441149,0.04788395728798234,0.3196644844282644,-0.26368984406872586,0.7746098367619262,0.848,ecg_baseline_before,HRV time,baseline_dev_sit_before,"Deviation from personal baseline, sit before training",hrv_time__SDNN_ms,robust z-score,"Deviation from personal baseline, sit before training: SDNN, ms — robust z-score",candidate,False,moderate_association;passes_minimum_filters
22,ecg_raw_rest_before::before__sit__full__morph_qrs__QRS_main_amp,22,15,0.6818181818181818,15,15,350.46055738076063,5.72407386822926,338.1240083155143,359.3527788692929,-0.15383105426409743,0.5841216889124182,-0.3108776669243092,0.2594036875922037,0.15383105426409743,0.3108776669243092,0.04920542420542384,-0.31571242083133966,-0.7585003384187833,0.23499433437120634,0.858,ecg_raw_rest_before,ECG raw,absolute,before/sit/full,morph_qrs__QRS_main_amp,absolute value,"QRS main amplitude (before, sit, full)",candidate,False,moderate_association;passes_minimum_filters
23,ecg_raw_rest_before::before__long__full__morph_t__T_amp,22,7,0.3181818181818182,7,7,42.62233344089298,39.42274368542337,-43.423313680919904,71.82951966859828,0.16609306846482325,0.7219048194637099,0.30631873731649006,0.504027008666588,0.16609306846482325,0.30631873731649006,0.0,0.29629629629629634,-0.8042806616525651,0.8140915784106943,0.7134268537074149,ecg_raw_rest_before,ECG raw,absolute,before/long/full,morph_t__T_amp,absolute value,"T-wave amplitude (before, long, full)",reject,False,low_valid_fraction
24,ecg_raw_rest_before::before__long__full__hrv_time__RMSSD_ms,22,21,0.9545454545454546,21,21,48.48930649939829,27.56362264549735,26.88861384530014,154.98249816799543,0.1097612709332154,0.6357672557179481,0.29697294576814254,0.1911120139989758,0.1097612709332154,0.29697294576814254,0.04092064851131649,0.2868466213620976,-0.16461081004417769,0.6347111016318402,0.93,ecg_raw_rest_before,ECG raw,absolute,before/long/full,hrv_time__RMSSD_ms,absolute value,"RMSSD, ms (before, long, full)",weak,False,low_abs_spearman
25,ecg_raw_rest_before::before__long__full__hrv_nonlinear__SD1_ms,22,21,0.9545454545454546,21,21,34.343545355789196,19.5224194506288,19.043725451081105,109.76751255702096,0.10978027920379223,0.6357083989633026,0.29697294576814254,0.1911120139989758,0.10978027920379223,0.29697294576814254,0.04243236430874653,0.2868466213620976,-0.16461081004417769,0.6347111016318402,0.93,ecg_raw_rest_before,ECG raw,absolute,before/long/full,hrv_nonlinear__SD1_ms,absolute value,"Poincaré SD1, ms (before, long, full)",weak,False,low_abs_spearman
26,ecg_breath_before::breath_in_response_before__hrv_time__pNN50_percent__delta,22,22,1.0,22,6,-24.848484848484848,24.59679664107513,-66.66666666666666,0.0,-0.2897760701297538,0.1908355488286681,-0.2965358917976499,0.18022488421888835,0.2897760701297538,0.2965358917976499,0.11458291489603067,-0.29078910395150526,-0.6694696045457458,0.18089529996769782,0.912,ecg_breath_before,HRV time,breath_in_response_before,Inhale breath-hold response before training,hrv_time__pNN50_percent,difference,"Inhale breath-hold response before training: pNN50, % — difference",weak,False,low_abs_spearman
27,ecg_baseline_before::baseline_dev_sit_before__hrv_time__SDNN_ms__delta,22,19,0.8636363636363636,19,19,0.31259474693680717,10.827766261669897,-12.118503447909356,34.89217933927043,0.35539597131358047,0.1353802889468374,0.29551554053527496,0.2193203190445544,0.35539597131358047,0.29551554053527496,0.0012225777318664033,0.30199749627650074,-0.2811997336758387,0.7681144655612243,0.868,ecg_baseline_before,HRV time,baseline_dev_sit_before,"Deviation from personal baseline, sit before training",hrv_time__SDNN_ms,difference,"Deviation from personal baseline, sit before training: SDNN, ms — difference",weak,False,low_abs_spearman
28,ecg_breath_before::breath_in_response_before__hrv_time__pNN50_percent__percent_delta,22,13,0.5909090909090909,13,3,-90.25641025641026,23.82270697299884,-100.0,-33.33333333333334,0.2974582200510973,0.32363301740034284,0.28469367941496987,0.3458025368131018,0.2974582200510973,0.28469367941496987,0.006993006993007755,0.3184469354605652,-0.2696695171809207,0.7421909846037735,0.8452914798206278,ecg_breath_before,HRV time,breath_in_response_before,Inhale breath-hold response before training,hrv_time__pNN50_percent,percent change,"Inhale breath-hold response before training: pNN50, % — percent change",reject,False,low_unique_values;low_abs_spearman
29,ecg_baseline_before::baseline_dev_sit_before__hrv_time__MeanNN_ms__robust_z,22,19,0.8636363636363636,19,19,-0.03765212137365726,1.0645206203492037,-2.512117160121859,2.165999128772313,0.20128276511429696,0.4086254541592741,0.2814433719383571,0.24309639382064632,0.20128276511429696,0.2814433719383571,0.0642779434188101,0.2829856972132532,-0.19210646900338696,0.676803139443049,0.874,ecg_baseline_before,HRV time,baseline_dev_sit_before,"Deviation from personal baseline, sit before training",hrv_time__MeanNN_ms,robust z-score,"Deviation from personal baseline, sit before training: Mean NN interval, ms — robust z-score",weak,False,low_abs_spearman
30,ecg_raw_rest_before::before__sit__full__hrv_freq__LF_power,22,22,1.0,22,22,0.0003688492167886992,0.00028246052969377664,7.209594690958206e-05,0.001103033584014,0.3342089705529621,0.12846649601349958,0.2711585361984306,0.2222237809718407,0.3342089705529621,0.2711585361984306,0.10269264482429463,0.24241528453979205,-0.18430761899150067,0.6789404720155853,0.846,ecg_raw_rest_before,ECG raw,absolute,before/sit/full,hrv_freq__LF_power,absolute value,"LF power (before, sit, full)",weak,False,low_abs_spearman
31,ecg_orthostatic_before::orthostatic_before__hrv_freq__HF_power__delta,22,22,1.0,22,22,-7.890314355594128e-05,0.00020990694472281082,-0.0008232227279323,0.0002552890264703,-0.15758101519088613,0.48369528605234446,0.26606369940138286,0.23137445200855067,0.15758101519088613,0.26606369940138286,0.3588902981810391,0.28778460405612927,-0.24457017127188332,0.6468569450939798,0.864,ecg_orthostatic_before,HRV frequency,orthostatic_before,Orthostatic response before training,hrv_freq__HF_power,difference,Orthostatic response before training: HF power — difference,weak,False,low_abs_spearman
32,ecg_baseline_before::baseline_dev_sit_before__hrv_time__RMSSD_ms__delta,22,19,0.8636363636363636,19,19,0.16032941890473956,8.364536935272765,-8.259528832566144,27.7730406678174,0.3470600819695051,0.1454474432895772,0.26385316119220975,0.2750450831335135,0.3470600819695051,0.26385316119220975,0.08689830551285671,0.25615340005414944,-0.31475563981915194,0.7560582196709502,0.828,ecg_baseline_before,HRV time,baseline_dev_sit_before,"Deviation from personal baseline, sit before training",hrv_time__RMSSD_ms,difference,"Deviation from personal baseline, sit before training: RMSSD, ms — difference",weak,False,low_abs_spearman
33,ecg_orthostatic_before::orthostatic_before__hrv_time__SDNN_ms__delta,22,22,1.0,22,22,25.458247259932854,21.85406452861194,-4.8366606470496265,60.828374357522655,0.26074677502871796,0.24118363238445284,0.2496470030553401,0.2625203511486293,0.26074677502871796,0.2496470030553401,0.012888523428912002,0.2580408311439567,-0.1993974922909877,0.6785647839256224,0.854,ecg_orthostatic_before,HRV time,orthostatic_before,Orthostatic response before training,hrv_time__SDNN_ms,difference,"Orthostatic response before training: SDNN, ms — difference",weak,False,low_abs_spearman
34,ecg_raw_rest_before::before__long__full__morph_qrs__QRS_duration_ms,22,7,0.3181818181818182,7,5,104.80455777960576,23.984140257950028,76.77543186180424,132.22435487310727,-0.043779025387039566,0.9257496202015792,-0.23854214911071148,0.6064608899104239,0.043779025387039566,0.23854214911071148,0.0,-0.2858309752375148,-0.9999999999999999,0.6645161629976685,0.6953907815631263,ecg_raw_rest_before,ECG raw,absolute,before/long/full,morph_qrs__QRS_duration_ms,absolute value,"QRS duration, ms (before, long, full)",reject,False,low_valid_fraction;low_abs_spearman
35,ecg_baseline_before::baseline_dev_sit_before__hrv_time__MeanNN_ms__delta,22,19,0.8636363636363636,19,19,-7.048828862313186,55.81194048696218,-132.23549724972725,86.17258090213636,0.2236576514843914,0.3573365986638797,0.216359592177612,0.37364378424045913,0.2236576514843914,0.216359592177612,0.07106574625924522,0.21433737545507964,-0.2985119443711047,0.6473427869118121,0.788,ecg_baseline_before,HRV time,baseline_dev_sit_before,"Deviation from personal baseline, sit before training",hrv_time__MeanNN_ms,difference,"Deviation from personal baseline, sit before training: Mean NN interval, ms — difference",weak,False,low_abs_spearman
36,ecg_baseline_before::baseline_dev_sit_before__hrv_time__MeanHR_bpm__robust_z,22,19,0.8636363636363636,19,19,0.07180568059879493,1.1259412672718137,-2.1678602323387475,2.8184553763385183,-0.1979729953527147,0.4165343641586866,-0.206684976267231,0.3958928133948571,0.1979729953527147,0.206684976267231,0.058356890787231164,-0.20155082478754927,-0.6218255635821178,0.28916405850780236,0.798,ecg_baseline_before,HRV time,baseline_dev_sit_before,"Deviation from personal baseline, sit before training",hrv_time__MeanHR_bpm,robust z-score,"Deviation from personal baseline, sit before training: Mean heart rate, bpm — robust z-score",weak,False,low_abs_spearman
37,ecg_baseline_before::baseline_dev_sit_before__hrv_freq__LF_power__robust_z,22,19,0.8636363636363636,19,19,0.7485599832984747,2.3649029837379447,-1.6174826604414227,8.695094228081913,0.2579456279497588,0.28633178684153804,0.2040464446553089,0.4020842149495775,0.2579456279497588,0.2040464446553089,0.0956404190924316,0.22543703916334532,-0.3553148023004684,0.6618434193658022,0.738,ecg_baseline_before,HRV frequency,baseline_dev_sit_before,"Deviation from personal baseline, sit before training",hrv_freq__LF_power,robust z-score,"Deviation from personal baseline, sit before training: LF power — robust z-score",weak,False,low_abs_spearman
38,ecg_orthostatic_before::orthostatic_before__hrv_time__RMSSD_ms__delta,22,22,1.0,22,22,-8.57496381865992,10.850993824054797,-26.13730039378942,30.93801348908726,0.08828543294768884,0.6960277403582789,0.2037934718819103,0.3629922522070805,0.08828543294768884,0.2037934718819103,0.0033268192622968318,0.22689866646282209,-0.25132724838838105,0.6196244230080025,0.84,ecg_orthostatic_before,HRV time,orthostatic_before,Orthostatic response before training,hrv_time__RMSSD_ms,difference,"Orthostatic response before training: RMSSD, ms — difference",weak,False,low_abs_spearman
39,ecg_raw_rest_before::before__long__full__hrv_freq__HF_power,22,21,0.9545454545454546,21,21,0.0005208784777078826,0.0011172482401375064,9.523897884633458e-05,0.0053488485903661,-0.036623705304453684,0.8747670096943482,0.19277191216528547,0.4024837764449811,0.036623705304453684,0.19277191216528547,0.0,0.17930904639781797,-0.290118913689468,0.5901318098900115,0.804,ecg_raw_rest_before,ECG raw,absolute,before/long/full,hrv_freq__HF_power,absolute value,"HF power (before, long, full)",weak,False,low_abs_spearman
40,ecg_baseline_before::baseline_dev_sit_before__hrv_time__MeanHR_bpm__delta,22,19,0.8636363636363636,19,19,0.535189057752393,3.6411936809389878,-5.360368009161945,8.877677285772393,-0.21379416931031567,0.3794738219830294,-0.1882152549837763,0.4403218926274913,0.21379416931031567,0.1882152549837763,0.10318961654101,-0.18057187011675224,-0.6458900862165987,0.3355627725345696,0.762,ecg_baseline_before,HRV time,baseline_dev_sit_before,"Deviation from personal baseline, sit before training",hrv_time__MeanHR_bpm,difference,"Deviation from personal baseline, sit before training: Mean heart rate, bpm — difference",weak,False,low_abs_spearman
41,ecg_raw_rest_before::before__sit__full__hrv_time__SDNN_ms,22,22,1.0,22,22,36.29130606898634,9.697785857091409,22.66925638458313,70.17884504117201,0.27617985461999073,0.2134422750936525,0.18567849660351826,0.40806535722357884,0.27617985461999073,0.18567849660351826,0.013498947107869919,0.14825951335583498,-0.3045310844670492,0.5427232456883909,0.762,ecg_raw_rest_before,ECG raw,absolute,before/sit/full,hrv_time__SDNN_ms,absolute value,"SDNN, ms (before, sit, full)",weak,False,low_abs_spearman
42,ecg_raw_rest_before::before__long__full__hrv_time__SDNN_ms,22,21,0.9545454545454546,21,21,57.271791471901224,20.436285550419782,36.25180382160749,125.74490729196096,0.08109604962030269,0.7267521592710507,0.1836543217250355,0.42551581744869915,0.08109604962030269,0.1836543217250355,0.0,0.1752084258890802,-0.2331397409243988,0.569736031345615,0.8,ecg_raw_rest_before,ECG raw,absolute,before/long/full,hrv_time__SDNN_ms,absolute value,"SDNN, ms (before, long, full)",weak,False,low_abs_spearman
43,ecg_raw_rest_before::before__long__full__hrv_freq__LF_HF_ratio,22,21,0.9545454545454546,21,21,2.1677888690280134,1.9001527365579811,0.6130006665677898,9.25349573244515,-0.08021988390326205,0.7295972546596968,-0.18235180880499977,0.4288626994103679,0.08021988390326205,0.18235180880499977,0.0,-0.17137086007491892,-0.5536507290157571,0.29953263645829115,0.772,ecg_raw_rest_before,ECG raw,absolute,before/long/full,hrv_freq__LF_HF_ratio,absolute value,"LF/HF ratio (before, long, full)",weak,False,low_abs_spearman
44,ecg_orthostatic_before::orthostatic_before__hrv_time__SDNN_ms__percent_delta,22,22,1.0,22,22,76.87356920754975,75.85761395248467,-12.134444062530072,268.32981781833263,0.24848456187158355,0.2648222407817158,0.1805836598064705,0.42127290352925534,0.24848456187158355,0.1805836598064705,0.0263095720772335,0.18526386088484317,-0.2748238291569335,0.5949728961797577,0.794,ecg_orthostatic_before,HRV time,orthostatic_before,Orthostatic response before training,hrv_time__SDNN_ms,percent change,"Orthostatic response before training: SDNN, ms — percent change",weak,False,low_abs_spearman
45,ecg_orthostatic_before::orthostatic_before__hrv_time__SDNN_ms__ratio,22,22,1.0,22,22,1.7687356920754977,0.7585761395248469,0.8786555593746993,3.6832981781833274,0.24848456187158371,0.2648222407817158,0.1805836598064705,0.42127290352925534,0.24848456187158371,0.1805836598064705,0.0263095720772335,0.18526386088484317,-0.2748238291569335,0.5949728961797577,0.794,ecg_orthostatic_before,HRV time,orthostatic_before,Orthostatic response before training,hrv_time__SDNN_ms,ratio,"Orthostatic response before training: SDNN, ms — ratio",weak,False,low_abs_spearman
46,ecg_raw_rest_before::before__long__full__hrv_nonlinear__SD1_SD2_ratio,22,21,0.9545454545454546,21,21,0.4833887764135935,0.18848796226785322,0.2273967153198836,0.9434787290829876,0.0810850161482829,0.7267879658644394,0.1790955265049105,0.43729108188265803,0.0810850161482829,0.1790955265049105,0.0,0.1816697353687275,-0.25102142587581866,0.5443084059638573,0.79,ecg_raw_rest_before,ECG raw,absolute,before/long/full,hrv_nonlinear__SD1_SD2_ratio,absolute value,"SD1/SD2 ratio (before, long, full)",weak,False,low_abs_spearman
47,ecg_baseline_before::baseline_dev_sit_before__hrv_time__RMSSD_ms__robust_z,22,19,0.8636363636363636,19,19,0.35328411095893747,2.201510348527793,-2.4183095151209604,7.693261262923534,0.36147134409899173,0.12835822123160937,0.17766112853608793,0.46682603958593744,0.36147134409899173,0.17766112853608793,0.0860028559331969,0.17176627441329595,-0.39220978421214425,0.702638755078331,0.73,ecg_baseline_before,HRV time,baseline_dev_sit_before,"Deviation from personal baseline, sit before training",hrv_time__RMSSD_ms,robust z-score,"Deviation from personal baseline, sit before training: RMSSD, ms — robust z-score",weak,False,low_abs_spearman
48,ecg_raw_rest_before::before__sit__full__hrv_nonlinear__SD2_ms,22,22,1.0,22,22,45.14788831427301,13.391694169264367,24.75253113986808,89.46943477254764,0.2665097410295474,0.2305636217836094,0.17379054407707348,0.4392371684032902,0.2665097410295474,0.17379054407707348,0.0,0.1469245175660739,-0.3143844830754942,0.5335381313598729,0.736,ecg_raw_rest_before,ECG raw,absolute,before/sit/full,hrv_nonlinear__SD2_ms,absolute value,"Poincaré SD2, ms (before, sit, full)",weak,False,low_abs_spearman
49,ecg_raw_rest_before::before__long__full__hrv_nonlinear__SD2_ms,22,21,0.9545454545454546,21,21,72.38502235152116,24.540916502346427,46.56242068473405,139.9094586036697,0.07331778953905939,0.7521268030542684,0.1719317054447141,0.45613781527699376,0.07331778953905939,0.1719317054447141,0.0,0.16716408596185828,-0.24278557215004956,0.6335685881881703,0.774,ecg_raw_rest_before,ECG raw,absolute,before/long/full,hrv_nonlinear__SD2_ms,absolute value,"Poincaré SD2, ms (before, long, full)",weak,False,low_abs_spearman
