rank,feature_name,n_total,n_valid_x,valid_fraction,pairwise_n,n_unique,mean,std,min,max,pearson_r,pearson_p,spearman_r,spearman_p,abs_pearson,abs_spearman,mutual_information,bootstrap_spearman_median,bootstrap_spearman_ci_low,bootstrap_spearman_ci_high,bootstrap_sign_stability,feature_set_name,feature_family,operation,condition,base_feature,formula_readable,feature_readable,formula_family,equivalent_feature_key,status,recommended,not_recommended_reason
33,ecg_baseline_before::baseline_dev_sit_before__hrv_time__MeanNN_ms__delta,22,19,0.8636363636363636,19,19,-7.048828862313186,55.81194048696218,-132.23549724972725,86.17258090213636,0.2236576514843914,0.3573365986638797,0.216359592177612,0.37364378424045913,0.2236576514843914,0.216359592177612,0.07106574625924522,0.21433737545507964,-0.2985119443711047,0.6473427869118121,0.788,ecg_baseline_before,HRV time,baseline_dev_sit_before,"Deviation from personal baseline, sit before training",hrv_time__MeanNN_ms,difference,"Deviation from personal baseline, sit before training: Mean NN interval, ms — difference",absolute_change,"ecg_baseline_before||baseline_dev_sit_before||Deviation from personal baseline, sit before training||hrv_time__MeanNN_ms||absolute_change",weak,False,low_abs_spearman
34,ecg_baseline_before::baseline_dev_sit_before__hrv_time__MeanHR_bpm__robust_z,22,18,0.8181818181818182,18,18,-0.08078596916452303,0.9348226290623544,-2.1678602323387475,1.7249284236646192,-0.2242566287965055,0.3709973709591624,-0.2028995291784898,0.41938925995472187,0.2242566287965055,0.2028995291784898,0.15406591864925256,-0.21000463573513292,-0.6109837145033074,0.2547001605830644,0.784,ecg_baseline_before,HRV time,baseline_dev_sit_before,"Deviation from personal baseline, sit before training",hrv_time__MeanHR_bpm,robust z-score,"Deviation from personal baseline, sit before training: Mean heart rate, bpm — robust z-score",normalized_deviation,"ecg_baseline_before||baseline_dev_sit_before||Deviation from personal baseline, sit before training||hrv_time__MeanHR_bpm||normalized_deviation",weak,False,low_abs_spearman
35,ecg_baseline_before::baseline_dev_sit_before__hrv_time__MeanHR_bpm__delta,22,19,0.8636363636363636,19,19,0.535189057752393,3.6411936809389878,-5.360368009161945,8.877677285772393,-0.21379416931031567,0.3794738219830294,-0.1882152549837763,0.4403218926274913,0.21379416931031567,0.1882152549837763,0.10318961654101,-0.18057187011675224,-0.6458900862165987,0.3355627725345696,0.762,ecg_baseline_before,HRV time,baseline_dev_sit_before,"Deviation from personal baseline, sit before training",hrv_time__MeanHR_bpm,difference,"Deviation from personal baseline, sit before training: Mean heart rate, bpm — difference",absolute_change,"ecg_baseline_before||baseline_dev_sit_before||Deviation from personal baseline, sit before training||hrv_time__MeanHR_bpm||absolute_change",weak,False,low_abs_spearman
36,ecg_raw_rest_before::before__sit__full__hrv_time__SDNN_ms,22,22,1.0,22,22,36.29130606898634,9.697785857091409,22.66925638458313,70.17884504117201,0.27617985461999073,0.2134422750936525,0.18567849660351826,0.40806535722357884,0.27617985461999073,0.18567849660351826,0.013498947107869919,0.14825951335583498,-0.3045310844670492,0.5427232456883909,0.762,ecg_raw_rest_before,ECG raw,absolute,before/sit/full,hrv_time__SDNN_ms,absolute value,"SDNN, ms (before, sit, full)",SDNN_ms,ecg_raw_rest_before||absolute||before/sit/full||hrv_time__SDNN_ms||SDNN_ms,weak,False,low_abs_spearman
37,ecg_raw_rest_before::before__long__full__hrv_time__SDNN_ms,22,21,0.9545454545454546,21,21,57.271791471901224,20.436285550419782,36.25180382160749,125.74490729196096,0.08109604962030269,0.7267521592710507,0.1836543217250355,0.42551581744869915,0.08109604962030269,0.1836543217250355,0.0,0.1752084258890802,-0.2331397409243988,0.569736031345615,0.8,ecg_raw_rest_before,ECG raw,absolute,before/long/full,hrv_time__SDNN_ms,absolute value,"SDNN, ms (before, long, full)",SDNN_ms,ecg_raw_rest_before||absolute||before/long/full||hrv_time__SDNN_ms||SDNN_ms,weak,False,low_abs_spearman
38,ecg_orthostatic_before::orthostatic_before__hrv_time__SDNN_ms__percent_delta,22,22,1.0,22,22,76.87356920754975,75.85761395248467,-12.134444062530072,268.32981781833263,0.24848456187158355,0.2648222407817158,0.1805836598064705,0.42127290352925534,0.24848456187158355,0.1805836598064705,0.0263095720772335,0.18526386088484317,-0.2748238291569335,0.5949728961797577,0.794,ecg_orthostatic_before,HRV time,orthostatic_before,Orthostatic response before training,hrv_time__SDNN_ms,percent change,"Orthostatic response before training: SDNN, ms — percent change",relative_change,ecg_orthostatic_before||orthostatic_before||Orthostatic response before training||hrv_time__SDNN_ms||relative_change,weak,False,low_abs_spearman
39,ecg_orthostatic_before::orthostatic_before__hrv_time__RMSSD_ms__delta,22,21,0.9545454545454546,21,21,-10.45653416664788,6.469171446861105,-26.13730039378942,0.0623283241603189,0.05848144032650371,0.8011952554272835,0.17957093412162672,0.4360551345730355,0.05848144032650371,0.17957093412162672,0.0,0.15884579500890558,-0.333288299732897,0.5493423063986161,0.776,ecg_orthostatic_before,HRV time,orthostatic_before,Orthostatic response before training,hrv_time__RMSSD_ms,difference,"Orthostatic response before training: RMSSD, ms — difference",absolute_change,ecg_orthostatic_before||orthostatic_before||Orthostatic response before training||hrv_time__RMSSD_ms||absolute_change,weak,False,low_abs_spearman
40,ecg_raw_rest_before::before__long__full__hrv_nonlinear__SD1_SD2_ratio,22,21,0.9545454545454546,21,21,0.4833887764135935,0.18848796226785322,0.2273967153198836,0.9434787290829876,0.0810850161482829,0.7267879658644394,0.1790955265049105,0.43729108188265803,0.0810850161482829,0.1790955265049105,0.0,0.1816697353687275,-0.25102142587581866,0.5443084059638573,0.79,ecg_raw_rest_before,ECG raw,absolute,before/long/full,hrv_nonlinear__SD1_SD2_ratio,absolute value,"SD1/SD2 ratio (before, long, full)",SD1_SD2_ratio,ecg_raw_rest_before||absolute||before/long/full||hrv_nonlinear__SD1_SD2_ratio||SD1_SD2_ratio,weak,False,low_abs_spearman
41,ecg_raw_rest_before::before__sit__full__hrv_nonlinear__SD2_ms,22,22,1.0,22,22,45.14788831427301,13.391694169264367,24.75253113986808,89.46943477254764,0.2665097410295474,0.2305636217836094,0.17379054407707348,0.4392371684032902,0.2665097410295474,0.17379054407707348,0.0,0.1469245175660739,-0.3143844830754942,0.5335381313598729,0.736,ecg_raw_rest_before,ECG raw,absolute,before/sit/full,hrv_nonlinear__SD2_ms,absolute value,"Poincaré SD2, ms (before, sit, full)",SD2_ms,ecg_raw_rest_before||absolute||before/sit/full||hrv_nonlinear__SD2_ms||SD2_ms,weak,False,low_abs_spearman
42,ecg_raw_rest_before::before__long__full__hrv_nonlinear__SD2_ms,22,21,0.9545454545454546,21,21,72.38502235152116,24.540916502346427,46.56242068473405,139.9094586036697,0.07331778953905939,0.7521268030542684,0.1719317054447141,0.45613781527699376,0.07331778953905939,0.1719317054447141,0.0,0.16716408596185828,-0.24278557215004956,0.6335685881881703,0.774,ecg_raw_rest_before,ECG raw,absolute,before/long/full,hrv_nonlinear__SD2_ms,absolute value,"Poincaré SD2, ms (before, long, full)",SD2_ms,ecg_raw_rest_before||absolute||before/long/full||hrv_nonlinear__SD2_ms||SD2_ms,weak,False,low_abs_spearman
43,ecg_baseline_before::baseline_dev_sit_before__hrv_freq__LF_power__robust_z,22,18,0.8181818181818182,18,18,0.3070858585882837,1.4145087372353233,-1.6174826604414227,3.596521854782318,0.3511446133725402,0.15306116982790935,0.16847565467911294,0.5039619169637307,0.3511446133725402,0.16847565467911294,0.10795680354503912,0.16096388424904634,-0.4348751355202885,0.660270933959061,0.7,ecg_baseline_before,HRV frequency,baseline_dev_sit_before,"Deviation from personal baseline, sit before training",hrv_freq__LF_power,robust z-score,"Deviation from personal baseline, sit before training: LF power — robust z-score",normalized_deviation,"ecg_baseline_before||baseline_dev_sit_before||Deviation from personal baseline, sit before training||hrv_freq__LF_power||normalized_deviation",weak,False,low_abs_spearman
44,ecg_raw_rest_before::before__sit__full__hrv_time__MeanNN_ms,22,22,1.0,22,22,980.0001277732284,53.062949687436394,882.4650859199803,1108.2402349196973,0.23359904693382852,0.2954298836657294,0.16190259155062875,0.4716273271521455,0.23359904693382852,0.16190259155062875,0.19023012122505523,0.17588472347755843,-0.26608378738901745,0.5308269603046185,0.758,ecg_raw_rest_before,ECG raw,absolute,before/sit/full,hrv_time__MeanNN_ms,absolute value,"Mean NN interval, ms (before, sit, full)",MeanNN_ms,ecg_raw_rest_before||absolute||before/sit/full||hrv_time__MeanNN_ms||MeanNN_ms,weak,False,low_abs_spearman
45,ecg_baseline_before::baseline_dev_sit_before__hrv_freq__LF_HF_ratio__delta,22,19,0.8636363636363636,19,19,0.936183928716589,2.141583845599032,-1.5205135960419935,7.307088663827563,0.07965662857837337,0.7458179359370856,0.16095042832724796,0.5103769961710201,0.07965662857837337,0.16095042832724796,0.0,0.15009057204401355,-0.35403311380718555,0.6031929810801487,0.758,ecg_baseline_before,HRV frequency,baseline_dev_sit_before,"Deviation from personal baseline, sit before training",hrv_freq__LF_HF_ratio,difference,"Deviation from personal baseline, sit before training: LF/HF ratio — difference",absolute_change,"ecg_baseline_before||baseline_dev_sit_before||Deviation from personal baseline, sit before training||hrv_freq__LF_HF_ratio||absolute_change",weak,False,low_abs_spearman
