feature,role,source_table,feature_family,n_total,n_valid,valid_ratio,n_missing,missing_ratio,n_unique,mean,median,std,iqr,min,max,usable,reason
raw_ecg__before__breath_in__end__hrv_time__SDNN_ms,input,raw_ecg_features,hrv_time,22,22,1.0,0,0.0,21,14.670831770846524,9.168312608390817,12.916354355426927,10.103503097051844,3.482604311911763,51.848715448363,True,ok
raw_ecg__before__breath_in__end__hrv_time__RMSSD_ms,input,raw_ecg_features,hrv_time,22,22,1.0,0,0.0,21,16.060754825984276,13.261362128511815,12.672479432723353,5.15040300749987,3.482604311911763,54.73342306083779,True,ok
raw_ecg__before__breath_in__end__hrv_time__pNN50_percent,input,raw_ecg_features,hrv_time,22,22,1.0,0,0.0,3,2.424242424242424,0.0,8.111773283374344,0.0,0.0,33.33333333333333,False,low_unique_values;low_iqr
raw_ecg__before__breath_in__end__hrv_freq__LF_power,input,raw_ecg_features,hrv_freq,22,0,0.0,22,1.0,0,,,,,,,False,low_valid_n;low_valid_ratio;low_unique_values
raw_ecg__before__breath_in__end__hrv_freq__HF_power,input,raw_ecg_features,hrv_freq,22,0,0.0,22,1.0,0,,,,,,,False,low_valid_n;low_valid_ratio;low_unique_values
raw_ecg__before__breath_in__end__hrv_freq__LF_HF_ratio,input,raw_ecg_features,hrv_freq,22,0,0.0,22,1.0,0,,,,,,,False,low_valid_n;low_valid_ratio;low_unique_values
raw_ecg__before__breath_in__end__morph_qrs__QRS_duration_ms,input,raw_ecg_features,morph_qrs,22,4,0.18181818181818182,18,0.8181818181818182,4,107.69886969503094,102.36724248240563,30.235544633733905,41.5866922584773,81.04073363190446,145.020260183408,False,low_valid_n;low_valid_ratio;low_unique_values
raw_ecg__before__breath_in__end__morph_qrs__QRS_area,input,raw_ecg_features,morph_qrs,22,4,0.18181818181818182,18,0.8181818181818182,4,11.795090266562429,10.907170835869007,3.3464014327214504,2.531189736538721,8.801533971706736,16.564485422804964,False,low_valid_n;low_valid_ratio;low_unique_values
raw_ecg__before__breath_in__end__morph_qrs__QRS_main_amp,input,raw_ecg_features,morph_qrs,22,4,0.18181818181818182,18,0.8181818181818182,4,359.862419896682,359.92683890287896,2.8737036670719314,2.3799856068765735,356.30506753457854,363.2909342463916,False,low_valid_n;low_valid_ratio;low_unique_values
raw_ecg__before__breath_in__end__morph_qrs__R_width_half_ms,input,raw_ecg_features,morph_qrs,22,4,0.18181818181818182,18,0.8181818181818182,3,37.321390488377055,38.38771593090212,5.367053696787339,3.198976327575174,29.857112390701644,42.65301770100235,False,low_valid_n;low_valid_ratio;low_unique_values
raw_ecg__before__breath_in__end__morph_t__T_amp,input,raw_ecg_features,morph_t,22,4,0.18181818181818182,18,0.8181818181818182,4,-22.96501831735597,-28.76791169033679,35.2561072033269,33.36630646643094,-58.71570308163322,24.391453192882917,False,low_valid_n;low_valid_ratio;low_unique_values
raw_ecg__before__breath_in__end__morph_t__T_area,input,raw_ecg_features,morph_t,22,4,0.18181818181818182,18,0.8181818181818182,4,-0.692393381498627,-0.5364345988804767,1.7480429208756627,1.6811538699570598,-2.934980354715529,1.2382760264819748,False,low_valid_n;low_valid_ratio;low_unique_values
